"DATE","Z500","T850"
"01/01",550,-1.4
"02/01",553.2,-2.5
"03/01",544.5,-0.4
"04/01",549.333333333333,-6
"05/01",548,-3.33333333333333
"06/01",549.333333333333,-2
"07/01",550.545454545455,-2
"08/01",550.666666666667,-2
"09/01",554,-2.25
"10/01",554.909090909091,-2.66666666666667
"11/01",551.555555555556,-0.833333333333333
"12/01",556,-2
"13/01",554.333333333333,-1.71428571428571
"14/01",556,-0.333333333333333
"15/01",559.692307692308,-2
"16/01",559.333333333333,0
"17/01",559.384615384615,-1.33333333333333
"18/01",555.6,-2.4
"19/01",554.285714285714,-2.76923076923077
"20/01",552,-1.5
"21/01",544.888888888889,-2
"22/01",552,-3.75
"23/01",553.2,-1
"24/01",557.142857142857,-0.5
"25/01",550.666666666667,-1
"26/01",548.8,-4.36363636363636
"27/01",548.4,-3.66666666666667
"28/01",547.636363636364,-4.66666666666667
"29/01",551.6,-2
"30/01",556.4,0.2
"31/01",555.555555555556,-2.54545454545455
"01/02",554.666666666667,-0.75
"02/02",556.307692307692,-2.8
"03/02",552.615384615385,0.5
"04/02",564,1.71428571428571
"05/02",550.666666666667,-1.14285714285714
"06/02",548.666666666667,-3.75
"07/02",551.142857142857,-3.63636363636364
"08/02",545.6,-2.4
"09/02",549.454545454545,-3
"10/02",544,-3.66666666666667
"11/02",556,1.2
"12/02",551.666666666667,-5.11111111111111
"13/02",550,-5.09090909090909
"14/02",550,-4.22222222222222
"15/02",545.818181818182,-3.16666666666667
"16/02",551.636363636364,0.571428571428571
"17/02",548.444444444444,-4.28571428571429
"18/02",552.666666666667,-2.72727272727273
"19/02",551.466666666667,-2.8
"20/02",546,-2
"21/02",550.153846153846,-1.6
"22/02",550,-1.8
"23/02",548.333333333333,-5.11111111111111
"24/02",552.888888888889,-1.71428571428571
"25/02",551.692307692308,-4
"26/02",547.2,-5
"27/02",549.5,-2.25
"28/02",548.666666666667,-1.42857142857143
"01/03",548,-3.09090909090909
"02/03",545.142857142857,-2
"03/03",552.571428571429,-2.5
"04/03",546.666666666667,-4.66666666666667
"05/03",549.428571428571,-2
"06/03",550.461538461538,-3.14285714285714
"07/03",549.6,-3.55555555555556
"08/03",558.8,0.727272727272727
"09/03",556,-0.166666666666667
"10/03",556,-1.5
"11/03",553.818181818182,2
"12/03",556.266666666667,1.33333333333333
"13/03",552.857142857143,-3.16666666666667
"14/03",560.363636363636,0.333333333333333
"15/03",555.692307692308,-1.4
"16/03",561.666666666667,0.545454545454545
"17/03",560,1.55555555555556
"18/03",559.733333333333,2.8
"19/03",554.545454545455,0.444444444444444
"20/03",549.846153846154,0
"21/03",554.222222222222,0
"22/03",556.4,0
"23/03",554,0.2
"24/03",550.666666666667,0.769230769230769
"25/03",555.272727272727,-0.571428571428571
"26/03",549.818181818182,1.6
"27/03",546.4,-0.727272727272727
"28/03",546,0
"29/03",548,0.666666666666667
"30/03",552.727272727273,0.4
"31/03",556.5,-0.363636363636364
"01/04",556.727272727273,1.8
"02/04",555.428571428571,5
"03/04",552.923076923077,3.55555555555556
"04/04",550.545454545455,1.75
"05/04",554.666666666667,0.4
"06/04",559.666666666667,0.181818181818182
"07/04",553,1.81818181818182
"08/04",548,-1.55555555555556
"09/04",554,0
"10/04",551,1.16666666666667
"11/04",555.428571428571,2.61538461538462
"12/04",552.923076923077,1
"13/04",552.666666666667,2.72727272727273
"14/04",553.090909090909,1.09090909090909
"15/04",553.454545454545,2.5
"16/04",551.272727272727,1.69230769230769
"17/04",551.777777777778,0.923076923076923
"18/04",549.066666666667,0.133333333333333
"19/04",551.75,0.533333333333333
"20/04",552.857142857143,0.125
"21/04",548.4,3
"22/04",557.333333333333,6.2
"23/04",557.230769230769,3.73333333333333
"24/04",558.8,5.09090909090909
"25/04",561.866666666667,4.82352941176471
"26/04",562.461538461538,4.92307692307692
"27/04",559.384615384615,5.14285714285714
"28/04",559.2,4.625
"29/04",559.466666666667,4.83333333333333
"30/04",557.411764705882,5.84615384615385
"01/05",559.764705882353,5.11111111111111
"02/05",559.384615384615,6.2
"03/05",562.133333333333,5.84615384615385
"04/05",559.384615384615,5.27272727272727
"05/05",560.923076923077,5.45454545454545
"06/05",560.8,4.28571428571429
"07/05",559.75,4
"08/05",564.285714285714,6.46153846153846
"09/05",560.857142857143,5.66666666666667
"10/05",562.133333333333,6.6
"11/05",561,7.33333333333333
"12/05",562,6.61538461538461
"13/05",564,4.625
"14/05",560.307692307692,7.53846153846154
"15/05",560,4.6
"16/05",563.294117647059,5.64705882352941
"17/05",560.5,6.25
"18/05",562.75,4.88888888888889
"19/05",563.333333333333,5.14285714285714
"20/05",562.888888888889,5.33333333333333
"21/05",563.466666666667,6.8
"22/05",563.529411764706,5.45454545454545
"23/05",566.153846153846,6
"24/05",565.777777777778,6.90909090909091
"25/05",567.333333333333,7.66666666666667
"26/05",568,6.92307692307692
"27/05",568.333333333333,8.66666666666667
"28/05",563.428571428571,7.38461538461539
"29/05",568.533333333333,8.28571428571429
"30/05",565.714285714286,8.44444444444444
"31/05",565.647058823529,7.42857142857143
"01/06",565.777777777778,6.54545454545455
"02/06",566.5,8.30769230769231
"03/06",565.75,7
"04/06",568,8
"05/06",567.4,7.85714285714286
"06/06",566.588235294118,9
"07/06",569.75,8.94736842105263
"08/06",568.75,9.38461538461539
"09/06",567.692307692308,7.83333333333333
"10/06",569.894736842105,8.30769230769231
"11/06",566.888888888889,7.23076923076923
"12/06",568.923076923077,6.18181818181818
"13/06",568.75,7.33333333333333
"14/06",567.733333333333,7.69230769230769
"15/06",572.705882352941,8.375
"16/06",569.866666666667,8.54545454545454
"17/06",570,8.33333333333333
"18/06",572.8,9.23076923076923
"19/06",572.333333333333,10.2857142857143
"20/06",573.714285714286,10.75
"21/06",570.133333333333,9.73333333333333
"22/06",571.25,7.66666666666667
"23/06",570.933333333333,8
"24/06",570.769230769231,8
"25/06",573.066666666667,9.63636363636364
"26/06",574,10.6666666666667
"27/06",573.090909090909,10.9090909090909
"28/06",575.2,9.2
"29/06",575.2,9.63636363636364
"30/06",575.2,11.1666666666667
"01/07",571.764705882353,10.8333333333333
"02/07",572,11.8571428571429
"03/07",573.333333333333,12.1538461538462
"04/07",572.285714285714,10.2222222222222
"05/07",575.2,12.1818181818182
"06/07",572,10.1666666666667
"07/07",572,9.85714285714286
"08/07",573.866666666667,9.11111111111111
"09/07",570.285714285714,10.5714285714286
"10/07",573.6,10.6666666666667
"11/07",572.631578947368,8.93333333333333
"12/07",576.285714285714,10.7692307692308
"13/07",575.076923076923,10.6666666666667
"14/07",576.533333333333,10
"15/07",576.615384615385,10
"16/07",575.058823529412,10.6
"17/07",577.428571428571,11.2857142857143
"18/07",577.6,10.7692307692308
"19/07",576,11.2857142857143
"20/07",578.8,14
"21/07",577.6,10.2
"22/07",574.133333333333,10
"23/07",576,11.5
"24/07",576.285714285714,12.2857142857143
"25/07",571.714285714286,11.2307692307692
"26/07",574,10.8333333333333
"27/07",574.857142857143,12.6153846153846
"28/07",577.714285714286,11.6470588235294
"29/07",577.111111111111,12.1666666666667
"30/07",577.411764705882,12.9230769230769
"31/07",576.333333333333,12
"01/08",577.142857142857,12.3333333333333
"02/08",576.705882352941,12.6666666666667
"03/08",575.25,12
"04/08",579.333333333333,11.7777777777778
"05/08",578.666666666667,12.7692307692308
"06/08",579.25,12.4210526315789
"07/08",578.133333333333,12.2222222222222
"08/08",574.47619047619,12.6153846153846
"09/08",575.25,11.4666666666667
"10/08",575.733333333333,12.6
"11/08",577.25,11.3333333333333
"12/08",575.111111111111,12
"13/08",571.777777777778,10.6666666666667
"14/08",574.888888888889,9.66666666666667
"15/08",575.714285714286,10.8333333333333
"16/08",574.857142857143,10.4615384615385
"17/08",575.529411764706,11.8
"18/08",574.666666666667,10.6
"19/08",575.636363636364,12
"20/08",576.888888888889,12.1428571428571
"21/08",574.823529411765,11.3333333333333
"22/08",577.066666666667,10.6
"23/08",575.636363636364,11.0769230769231
"24/08",575.777777777778,11.7142857142857
"25/08",574.444444444444,10.7272727272727
"26/08",574.117647058824,10.8
"27/08",574.823529411765,11.1666666666667
"28/08",571.6,10
"29/08",572.8,8.44444444444444
"30/08",574.153846153846,9
"31/08",569.142857142857,8.4
"01/09",570,8.53333333333333
"02/09",574.75,8.92307692307692
"03/09",571,8.83333333333333
"04/09",573,8.88888888888889
"05/09",572,8.71428571428571
"06/09",570.75,6.8
"07/09",571.333333333333,10
"08/09",573.066666666667,9.33333333333333
"09/09",575.333333333333,9.81818181818182
"10/09",575.142857142857,8.93333333333333
"11/09",572,9.07692307692308
"12/09",570.285714285714,7
"13/09",570.666666666667,8.6
"14/09",573.866666666667,7.81818181818182
"15/09",572.8,7.63636363636364
"16/09",572.444444444444,7.63636363636364
"17/09",571.272727272727,8
"18/09",570.5,7.55555555555556
"19/09",571.2,7.38461538461539
"20/09",569.25,7.5
"21/09",571.636363636364,7.66666666666667
"22/09",571.714285714286,7.81818181818182
"23/09",571.777777777778,8.42857142857143
"24/09",566.461538461538,7.14285714285714
"25/09",566,6.88888888888889
"26/09",568.444444444444,6
"27/09",566,6.375
"28/09",570.4,5.83333333333333
"29/09",569,7.5
"30/09",569,7.25
"01/10",568.285714285714,8.44444444444444
"02/10",566.181818181818,7.2
"03/10",567.666666666667,6
"04/10",570.222222222222,6.22222222222222
"05/10",565.818181818182,4.66666666666667
"06/10",565.090909090909,7.42857142857143
"07/10",565.142857142857,4.33333333333333
"08/10",567.466666666667,5.4
"09/10",570,4.83333333333333
"10/10",572,7.38461538461539
"11/10",575.636363636364,7.33333333333333
"12/10",571.076923076923,8.36363636363636
"13/10",570,6.5
"14/10",569.176470588235,8.2
"15/10",573,8.88888888888889
"16/10",562.769230769231,5.2
"17/10",559.5,5.66666666666667
"18/10",563.111111111111,1.81818181818182
"19/10",561.454545454545,2.85714285714286
"20/10",563.466666666667,3.09090909090909
"21/10",559.111111111111,0.285714285714286
"22/10",556,2.2
"23/10",566,2.5
"24/10",563.428571428571,1.71428571428571
"25/10",559.333333333333,2.22222222222222
"26/10",561.6,4.28571428571429
"27/10",563.142857142857,2.2
"28/10",569.333333333333,4.5
"29/10",573.333333333333,7.55555555555556
"30/10",561.333333333333,5.25
"31/10",556.5,3.14285714285714
"01/11",563.333333333333,5.16666666666667
"02/11",562.461538461538,3
"03/11",562.222222222222,3.71428571428571
"04/11",562,3.75
"05/11",562.333333333333,1.33333333333333
"06/11",564.571428571429,3.77777777777778
"07/11",560.307692307692,2
"08/11",558.4,0.909090909090909
"09/11",561.142857142857,0.4
"10/11",559.636363636364,0.6
"11/11",556.923076923077,0.444444444444444
"12/11",558.181818181818,0.666666666666667
"13/11",557.777777777778,1.2
"14/11",552,1.81818181818182
"15/11",556.444444444444,2
"16/11",554.545454545455,2.15384615384615
"17/11",558.8,-2
"18/11",554.857142857143,-1.33333333333333
"19/11",556.8,-1
"20/11",554.8,-1
"21/11",552.923076923077,-0.888888888888889
"22/11",548,-2.18181818181818
"23/11",550.222222222222,-1.42857142857143
"24/11",558.545454545455,-2
"25/11",555.5,0.4
"26/11",556.444444444444,0.461538461538462
"27/11",554,0.666666666666667
"28/11",555.692307692308,-0.5
"29/11",554.4,0.666666666666667
"30/11",549.333333333333,-0.857142857142857
"01/12",554.909090909091,-0.888888888888889
"02/12",548,-3.14285714285714
"03/12",553.5,-1.25
"04/12",549.714285714286,-3.11111111111111
"05/12",553.333333333333,-1.2
"06/12",551.555555555556,-3.4
"07/12",552.363636363636,-2.44444444444444
"08/12",553.142857142857,-0.222222222222222
"09/12",561,1.75
"10/12",557.333333333333,0.25
"11/12",556.615384615385,-0.6
"12/12",563,0
"13/12",549.333333333333,0
"14/12",564,-0.666666666666667
"15/12",550.333333333333,-2
"16/12",558.4,-2.88888888888889
"17/12",552.4,-1.42857142857143
"18/12",553.714285714286,-4.4
"19/12",547,-4.28571428571429
"20/12",544.5,-1.5
"21/12",552,-2
"22/12",553.428571428571,-2
"23/12",555.142857142857,1.2
"24/12",552,-2
"25/12",555.111111111111,0.4
"26/12",544.727272727273,-2.25
"27/12",557.333333333333,-0.333333333333333
"28/12",546.857142857143,-3.4
"29/12",541.142857142857,-4.85714285714286
"30/12",556,-4.25
"31/12",548,-3.75
